first_name,last_name,birth_date,from_date,title,to_date
Parke,Unno,1965-01-22,1996-07-01,Engineer,9999-01-01
Shin,Fujisaki,1965-01-15,1988-02-23,Technique Leader,9999-01-01
Ferdinand,Rosiles,1965-01-18,1997-07-08,Senior Staff,9999-01-01
Younwoo,Luders,1965-01-06,1998-12-08,Engineer,9999-01-01
Chiradeep,Callaway,1965-01-14,1999-07-30,Staff,9999-01-01
Yongdong,Pollock,1965-01-09,1998-03-17,Staff,9999-01-01
Udi,Merks,1965-01-04,1997-08-15,Engineer,9999-01-01
Pasqua,Taubman,1965-01-30,1986-06-23,Senior Staff,9999-01-01
Kristine,Clemencon,1965-01-28,1993-06-01,Senior Staff,9999-01-01
Ronghao,Segond,1965-01-27,1993-09-13,Senior Engineer,9999-01-01
Jaewon,Thummel,1965-02-01,1985-09-14,Senior Staff,9999-01-01
Oldrich,Woycyznski,1965-01-09,1985-05-15,Engineer,9999-01-01
Zhenhua,Lorys,1965-01-01,1995-08-21,Engineer,9999-01-01
JoAnne,Anido,1965-01-15,1995-09-15,Staff,9999-01-01
Keung,Neiman,1965-01-16,1997-04-13,Staff,9999-01-01
Quingbo,Coombs,1965-01-07,1999-01-17,Senior Engineer,9999-01-01
Khun,Janetzko,1965-01-16,1989-09-13,Assistant Engineer,9999-01-01
Yongmin,Roccetti,1965-01-24,1986-12-10,Senior Staff,9999-01-01
Conor,Thorensen,1965-01-26,1988-02-24,Senior Engineer,9999-01-01
Goo,Bresenham,1965-01-09,1999-01-31,Senior Staff,9999-01-01
Lena,Cannane,1965-01-31,2000-01-28,Engineer,9999-01-01
Jungsoon,Birsak,1965-01-28,1985-04-03,Technique Leader,9999-01-01
Vasiliy,Ratnaker,1965-01-10,1995-08-09,Engineer,9999-01-01
Vojin,Coombs,1965-01-22,1995-07-23,Senior Staff,9999-01-01
Mang,Hedayat,1965-01-20,1995-05-22,Engineer,9999-01-01
Otmar,Birjandi,1965-01-24,1985-03-23,Engineer,9999-01-01
Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,Senior Staff,9999-01-01
Conal,Yetto,1965-01-07,1991-01-12,Senior Staff,9999-01-01
Along,Erol,1965-01-15,1992-10-16,Senior Staff,9999-01-01
Mansur,Comyn,1965-01-13,1999-08-31,Engineer,9999-01-01
Guther,Rothenberg,1965-01-27,1991-08-08,Senior Staff,9999-01-01
Pranjal,Rossi,1965-01-20,1998-07-07,Staff,9999-01-01
Aiman,Mawatari,1965-01-27,1988-05-01,Engineer,9999-01-01
Xiadong,Shinomoto,1965-01-27,1997-05-24,Engineer,9999-01-01
Alexius,Ibel,1965-01-26,1988-04-24,Engineer,9999-01-01
Arnould,Weedman,1965-01-23,1989-07-28,Senior Staff,9999-01-01
Vivian,Guerreiro,1965-01-24,1991-07-08,Assistant Engineer,9999-01-01
Renny,Bale,1965-01-01,1989-11-22,Engineer,9999-01-01
Bader,Denis,1965-01-15,1997-10-06,Engineer,9999-01-01
Koichi,Assaf,1965-01-09,1990-05-26,Engineer,9999-01-01
Fumiko,Chepyzhov,1965-01-24,1988-01-28,Senior Staff,9999-01-01
Yonghoan,Trogemann,1965-01-29,1988-09-23,Assistant Engineer,9999-01-01
Rajmohan,DasSarma,1965-01-03,1985-09-14,Senior Staff,9999-01-01
Kazuhisa,Melter,1965-01-19,1987-07-16,Senior Staff,9999-01-01
Lucien,Schwartzburd,1965-01-04,1988-08-25,Engineer,9999-01-01
Yahiko,Hebden,1965-01-01,1996-10-03,Engineer,9999-01-01
Gunilla,Milicic,1965-01-13,1998-01-09,Staff,9999-01-01
Lobel,Stafford,1965-01-27,1998-11-29,Staff,9999-01-01
Jamaludin,Nilsson,1965-01-04,1987-01-15,Senior Staff,9999-01-01
Dmitry,Msuda,1965-01-29,1988-10-22,Senior Staff,9999-01-01
Aria,Kilgore,1965-01-04,1992-04-11,Engineer,9999-01-01
Visit,McFarlan,1965-01-24,1987-10-22,Engineer,9999-01-01
Zhanqiu,Farrow,1965-01-06,1999-01-10,Assistant Engineer,9999-01-01
Ranga,Merro,1965-01-18,1996-05-11,Assistant Engineer,9999-01-01
Mang,Atchley,1965-01-26,1995-06-07,Senior Staff,9999-01-01
Claude,Candan,1965-01-22,1993-08-04,Senior Staff,9999-01-01
Anyuan,Kropatsch,1965-01-11,1986-09-05,Senior Staff,9999-01-01
Huei,Hutter,1965-01-20,1993-01-28,Engineer,9999-01-01
Jaques,Kabayashi,1965-01-19,1992-03-13,Senior Engineer,9999-01-01
Richara,Walston,1965-01-11,1996-08-27,Senior Engineer,9999-01-01
Magdalena,Penn,1965-02-01,1997-01-04,Engineer,9999-01-01
Arie,Coullard,1965-02-01,2000-03-28,Senior Staff,9999-01-01
Kristina,Neimat,1965-01-13,1988-04-18,Technique Leader,9999-01-01
Ramzi,Cronau,1965-01-26,1999-09-03,Technique Leader,9999-01-01
Aran,Cesareni,1965-01-01,2001-11-20,Senior Staff,9999-01-01
Hitofumi,Zaccaria,1965-01-27,1988-11-22,Engineer,9999-01-01
Heping,Matheson,1965-01-13,1988-06-24,Engineer,9999-01-01
Yishai,Cappelli,1965-01-28,1997-01-30,Staff,9999-01-01
Kristin,Guerreiro,1965-01-18,1989-08-23,Engineer,9999-01-01
Rasiah,Koblick,1965-01-22,1991-08-21,Senior Staff,9999-01-01
Alair,Lyonns,1965-01-08,1997-07-12,Engineer,9999-01-01
Gianluca,Ramaiah,1965-01-13,1993-11-29,Engineer,9999-01-01
Kristinn,Loncour,1965-01-11,1995-02-08,Engineer,9999-01-01
Nobuyoshi,Hegner,1965-01-19,1994-09-07,Senior Staff,9999-01-01
Kokou,Garrabrants,1965-01-13,1997-11-05,Senior Engineer,9999-01-01
Mohan,Tasistro,1965-01-18,1996-02-10,Engineer,9999-01-01
Arumugam,Vecchio,1965-01-07,1985-08-14,Engineer,9999-01-01
Jeanna,Chinen,1965-01-09,1989-01-01,Engineer,9999-01-01
Haldon,Janetzko,1965-01-25,1990-09-11,Senior Staff,9999-01-01
Avishai,Hegner,1965-01-31,1993-05-08,Senior Staff,9999-01-01
Sumali,Huttel,1965-01-12,1989-09-12,Senior Staff,9999-01-01
Ziya,Kadhim,1965-01-16,1999-06-24,Senior Engineer,9999-01-01
Florina,Assaf,1965-01-29,1996-05-18,Staff,9999-01-01
Shugo,Reeken,1965-01-30,1999-06-21,Staff,9999-01-01
Xiaobin,Christianini,1965-01-13,1985-12-25,Senior Staff,9999-01-01
Carrsten,Francisci,1965-01-18,1991-06-16,Senior Engineer,9999-01-01
Dhritiman,Anily,1965-01-24,1998-12-16,Staff,9999-01-01
Mahendra,Motley,1965-01-30,1985-09-28,Senior Staff,9999-01-01
Hisao,Peral,1965-01-19,1990-10-03,Engineer,9999-01-01
Heejo,Aamodt,1965-01-18,1992-04-22,Engineer,9999-01-01
Abdelaziz,Sury,1965-01-14,1991-01-31,Senior Staff,9999-01-01
Mori,Homond,1965-01-22,1994-05-10,Senior Staff,9999-01-01
Mantis,Millington,1965-01-14,1991-03-18,Senior Staff,9999-01-01
Adin,Templeman,1965-01-03,1999-08-12,Engineer,9999-01-01
Djenana,Albarhamtoshy,1965-01-16,1988-07-16,Senior Staff,9999-01-01
Visit,Swen,1965-01-07,1995-10-02,Senior Staff,9999-01-01
Susanne,Peternell,1965-01-03,1994-07-27,Engineer,9999-01-01
Beshir,Hellwagner,1965-01-03,1998-02-03,Engineer,9999-01-01
Heping,Halloran,1965-01-31,1992-04-08,Assistant Engineer,9999-01-01
Pranjal,Zyda,1965-01-31,1991-07-03,Senior Staff,9999-01-01
Werner,Lodder,1965-01-29,1992-06-17,Senior Staff,9999-01-01
Parviz,Litzler,1965-01-07,1992-08-08,Engineer,9999-01-01
Kwun,Reeker,1965-01-01,1999-07-29,Technique Leader,9999-01-01
Diederik,Matzov,1965-01-29,1995-03-08,Engineer,9999-01-01
Mohamadou,Stafford,1965-01-08,1995-09-12,Engineer,9999-01-01
Haldun,Lienhardt,1965-01-01,1987-01-29,Senior Staff,9999-01-01
Sachem,Cromarty,1965-01-15,1990-08-20,Assistant Engineer,9999-01-01
Naftali,Schurmann,1965-01-14,1992-12-02,Engineer,9999-01-01
Nevio,Thisen,1965-02-01,1988-03-25,Senior Staff,9999-01-01
Lijie,Garrabrants,1965-01-31,1988-10-26,Senior Staff,9999-01-01
Babette,Anandan,1965-01-31,1986-11-22,Senior Staff,9999-01-01
Siamak,Luiz,1965-01-23,1987-02-11,Senior Engineer,9999-01-01
Fabrizio,Chleq,1965-01-23,1999-07-31,Senior Engineer,9999-01-01
Shahab,Crooks,1965-01-13,1992-03-18,Senior Staff,9999-01-01
Ramya,Walston,1965-01-26,1989-02-03,Senior Staff,9999-01-01
Hisao,Ghemri,1965-01-09,1985-11-14,Senior Staff,9999-01-01
Randi,Samarati,1965-01-24,1992-10-20,Senior Staff,9999-01-01
Shai,Stellhorn,1965-01-02,1992-05-21,Senior Engineer,9999-01-01
Oksana,Baek,1965-01-19,1989-07-20,Senior Staff,9999-01-01
Jamaludin,Kandlur,1965-02-01,1992-06-19,Senior Engineer,9999-01-01
Gor,Delgrande,1965-01-11,2002-06-18,Engineer,9999-01-01
Moty,Winter,1965-01-15,1991-04-28,Technique Leader,9999-01-01
Bangqing,Schach,1965-01-21,1988-03-22,Senior Staff,9999-01-01
Menkae,Etalle,1965-01-31,1997-05-21,Assistant Engineer,9999-01-01
Stamatina,Auyong,1965-02-01,1988-07-05,Senior Staff,9999-01-01
Mani,Cannata,1965-01-02,1989-06-21,Senior Staff,9999-01-01
Arco,Walston,1965-01-17,1999-08-16,Engineer,9999-01-01
Hatem,Fadgyas,1965-01-11,1991-11-13,Senior Engineer,9999-01-01
Godehard,Chorvat,1965-01-26,1988-04-10,Senior Staff,9999-01-01
Chuanti,Luff,1965-01-08,1994-09-21,Senior Staff,9999-01-01
Akemi,Fujisaki,1965-01-27,2001-11-13,Senior Engineer,9999-01-01
Kirk,Quaggetto,1965-01-10,1987-06-30,Engineer,9999-01-01
Dinah,Denos,1965-01-09,1992-09-21,Senior Staff,9999-01-01
Susumu,Camurati,1965-01-14,1991-12-15,Senior Staff,9999-01-01
Alejandra,Khasidashvili,1965-01-03,1994-07-30,Staff,9999-01-01
Anneli,Perl,1965-01-15,1992-09-08,Senior Staff,9999-01-01
Fan,Kakkad,1965-01-01,1988-02-25,Senior Staff,9999-01-01
Genta,Terekhov,1965-01-16,1998-07-21,Assistant Engineer,9999-01-01
Waiman,Genin,1965-01-12,1988-10-30,Engineer,9999-01-01
Sudharsan,DeMori,1965-01-02,1992-03-30,Engineer,9999-01-01
Ortrun,Schmiedel,1965-01-16,1997-07-18,Engineer,9999-01-01
Gully,Perko,1965-01-09,1999-07-07,Engineer,9999-01-01
Zvonko,Murthy,1965-01-13,1992-01-07,Senior Staff,9999-01-01
Morris,Saoudi,1965-01-05,1991-11-22,Engineer,9999-01-01
Kerhong,Matzke,1965-01-19,1986-11-14,Engineer,9999-01-01
Isaac,Koshino,1965-01-25,1995-09-28,Senior Engineer,9999-01-01
Giordano,Pietrzykowski,1965-01-17,1987-03-26,Senior Staff,9999-01-01
Hugh,Jonsson,1965-01-03,1991-07-06,Senior Staff,9999-01-01
Zongyan,Gips,1965-01-02,1997-05-31,Technique Leader,9999-01-01
Ewing,DiGiano,1965-01-21,2000-02-01,Technique Leader,9999-01-01
Sasan,Thimonier,1965-01-30,1996-08-21,Senior Staff,9999-01-01
Yefim,Marwedel,1965-01-23,1993-03-30,Senior Staff,9999-01-01
Jessie,Nooteboom,1965-01-10,2000-12-13,Staff,9999-01-01
Susuma,Bergere,1965-01-22,1996-02-25,Senior Staff,9999-01-01
Arve,Worfolk,1965-01-09,1985-04-01,Senior Staff,9999-01-01
Gretta,Huttel,1965-01-03,1990-10-08,Senior Engineer,9999-01-01
Hein,Lichtner,1965-01-22,1998-05-02,Senior Staff,9999-01-01
Franziska,Maginnis,1965-01-27,1986-02-17,Engineer,9999-01-01
Susanne,Mandelberg,1965-01-22,1990-11-02,Engineer,9999-01-01
Yahiko,Awdeh,1965-01-26,1998-08-05,Engineer,9999-01-01
Moni,Kornyak,1965-01-23,1991-09-26,Technique Leader,9999-01-01
Leszek,Spinelli,1965-01-05,1998-12-10,Staff,9999-01-01
Mary,Setiz,1965-01-04,1989-01-13,Senior Engineer,9999-01-01
Stabislas,Broder,1965-01-21,1996-07-16,Engineer,9999-01-01
Kien,Barreiro,1965-01-27,2000-10-24,Staff,9999-01-01
Youjian,Yetto,1965-01-31,1994-12-07,Senior Staff,9999-01-01
Limsoon,Skafidas,1965-01-31,1999-08-10,Senior Staff,9999-01-01
Aiichiro,Kusalik,1965-01-06,1990-10-04,Engineer,9999-01-01
Yucai,Fabrizio,1965-01-07,1999-10-06,Staff,9999-01-01
Guadalupe,Pfau,1965-01-12,1993-03-22,Senior Staff,9999-01-01
Tzu,Sichman,1965-01-21,1987-11-17,Engineer,9999-01-01
Jacqueline,Akaboshi,1965-01-20,1997-12-06,Engineer,9999-01-01
Zhiguo,Ariola,1965-01-13,1994-09-07,Senior Staff,9999-01-01
Kellie,Schrooten,1965-01-25,1991-01-17,Assistant Engineer,9999-01-01
Shuji,Barbanera,1965-01-04,1987-08-10,Senior Staff,9999-01-01
Baziley,Falck,1965-01-15,1995-02-18,Assistant Engineer,9999-01-01
Chinya,Kamble,1965-01-16,1992-05-31,Senior Staff,9999-01-01
Remko,Vieth,1965-01-07,1990-11-22,Senior Staff,9999-01-01
Manu,Rothenberg,1965-01-09,1988-12-06,Engineer,9999-01-01
Shen,Flanders,1965-01-11,1989-07-03,Senior Staff,9999-01-01
Larisa,Lukaszewicz,1965-01-27,1996-10-30,Senior Staff,9999-01-01
Phillip,Schade,1965-01-23,1989-03-03,Engineer,9999-01-01
Pranjal,Juneja,1965-01-30,1985-03-21,Senior Engineer,9999-01-01
Xinyu,Edelhoff,1965-01-05,1997-10-26,Senior Engineer,9999-01-01
Krassimir,Garnier,1965-01-19,1998-01-26,Senior Staff,9999-01-01
Dante,Covnot,1965-01-09,1989-05-28,Senior Staff,9999-01-01
Nimmagadda,Baak,1965-01-17,1987-10-30,Assistant Engineer,9999-01-01
Shalesh,Lovengreen,1965-01-28,1990-09-29,Senior Staff,9999-01-01
Lihong,Zeilberger,1965-01-18,1996-04-28,Staff,9999-01-01
Gino,Lagarias,1965-01-19,1997-06-22,Engineer,9999-01-01
Saniya,Stenning,1965-01-25,1986-12-10,Senior Staff,9999-01-01
Werner,Ranze,1965-01-31,1998-06-05,Staff,9999-01-01
Domenico,Ratnaker,1965-01-08,1985-03-24,Engineer,9999-01-01
Gao,Ranze,1965-01-12,1994-11-24,Engineer,9999-01-01
Anwar,Bain,1965-01-07,1989-01-22,Engineer,9999-01-01
Leni,Henders,1965-01-11,1993-11-19,Senior Staff,9999-01-01
Sailaja,Holburn,1965-01-17,1991-03-04,Senior Staff,9999-01-01
Claudi,Stanfel,1965-01-16,1996-01-07,Engineer,9999-01-01
Yongmao,Fontan,1965-01-22,1993-07-26,Engineer,9999-01-01
Tru,Danecki,1965-01-10,1997-03-31,Staff,9999-01-01
Pranas,Narwekar,1965-01-04,1985-09-26,Engineer,9999-01-01
Armond,Perly,1965-02-01,1989-09-14,Engineer,9999-01-01
Xiaoqiang,Cardazo,1965-01-25,1993-05-28,Senior Staff,9999-01-01
Rayond,Klassen,1965-01-15,1993-09-11,Senior Staff,9999-01-01
Peer,Molberg,1965-01-29,1996-11-17,Engineer,9999-01-01
Ingmar,Kohling,1965-01-27,1995-04-25,Engineer,9999-01-01
Shirish,Vickson,1965-01-12,1989-10-24,Engineer,9999-01-01
Arfst,Chepyzhov,1965-01-28,1989-02-06,Engineer,9999-01-01
Gopalakrishnan,Angel,1965-02-01,1997-07-05,Engineer,9999-01-01
Dinkar,Hoppenstand,1965-01-12,1994-05-04,Engineer,9999-01-01
Flemming,Kroha,1965-01-16,1995-01-23,Staff,9999-01-01
Munehiro,Manders,1965-01-15,1987-05-18,Senior Staff,9999-01-01
Sven,Speer,1965-01-08,1999-07-08,Staff,9999-01-01
Pramod,Loncour,1965-01-30,1987-03-31,Senior Staff,9999-01-01
Sahrah,Angiulli,1965-01-24,1986-07-31,Senior Staff,9999-01-01
Aiichiro,Cromarty,1965-01-22,1995-06-10,Engineer,9999-01-01
Byong,Gustavson,1965-01-16,1985-03-12,Senior Engineer,9999-01-01
Xiaocheng,Suermann,1965-01-26,1997-12-15,Engineer,9999-01-01
Ashish,Vidya,1965-01-29,1989-06-16,Engineer,9999-01-01
Lena,Lenart,1965-01-22,1990-12-25,Senior Staff,9999-01-01
Otmar,Engberts,1965-01-11,1993-08-16,Senior Staff,9999-01-01
Masami,Puoti,1965-01-12,2000-01-21,Senior Engineer,9999-01-01
Yuchang,Eldridge,1965-01-21,1986-08-01,Senior Staff,9999-01-01
Yannik,Spelt,1965-01-05,1992-09-22,Technique Leader,9999-01-01
Abdelwaheb,Denis,1965-01-10,1993-09-10,Engineer,9999-01-01
Horward,Marzano,1965-01-14,1996-04-11,Staff,9999-01-01
Jianhao,Molenaar,1965-01-21,1987-10-22,Engineer,9999-01-01
Panayotis,Lukaszewicz,1965-01-02,1989-06-06,Engineer,9999-01-01
Shay,Servieres,1965-02-01,1998-08-06,Senior Staff,9999-01-01
Mokhtar,Poupard,1965-01-26,1992-02-02,Technique Leader,9999-01-01
Jiong,Garnham,1965-01-24,1990-01-02,Senior Staff,9999-01-01
Unal,DuBourdieux,1965-01-16,1996-03-13,Engineer,9999-01-01
Kristine,Bierman,1965-01-18,1988-05-13,Technique Leader,9999-01-01
Aemilian,Kusalik,1965-01-30,1987-05-27,Engineer,9999-01-01
Marsal,Acton,1965-01-06,1995-08-02,Staff,9999-01-01
Subhrajyoti,Denna,1965-01-29,1996-07-25,Staff,9999-01-01
Moie,Zastre,1965-01-22,1991-10-11,Technique Leader,9999-01-01
Susanna,Reeken,1965-01-16,1998-03-16,Senior Staff,9999-01-01
Demos,Asser,1965-01-17,1985-11-04,Senior Engineer,9999-01-01
Reinhard,Slaats,1965-01-09,1994-06-08,Engineer,9999-01-01
Poorav,Laventhal,1965-01-23,1997-08-16,Staff,9999-01-01
Sibyl,Rabehasaina,1965-01-06,1998-02-23,Senior Staff,9999-01-01
Poornachandra,Zielinski,1965-01-08,1996-02-13,Senior Staff,9999-01-01
Yuping,Babb,1965-01-23,1995-01-31,Senior Staff,9999-01-01
Shigenori,Deville,1965-01-25,1992-12-24,Technique Leader,9999-01-01
Nahid,Gyimothy,1965-01-07,1995-08-18,Staff,9999-01-01
Perla,Orlowska,1965-01-17,1998-10-13,Senior Engineer,9999-01-01
Tesuya,dAstous,1965-01-23,1988-11-29,Engineer,9999-01-01
Saddek,Farris,1965-01-13,1990-11-06,Senior Staff,9999-01-01
Abdulah,Pocchiola,1965-01-28,1996-08-28,Engineer,9999-01-01
Djenana,Marrevee,1965-01-06,1994-02-06,Engineer,9999-01-01
Sangeeta,Kalefeld,1965-01-17,1990-06-06,Senior Staff,9999-01-01
Stein,Uludag,1965-01-21,1988-01-30,Senior Staff,9999-01-01
Miyeon,Billingsley,1965-01-20,1992-12-05,Senior Engineer,9999-01-01
Matt,Chvatal,1965-01-20,1994-11-09,Senior Engineer,9999-01-01
Valdiodio,Schlumberger,1965-01-15,1993-08-07,Assistant Engineer,9999-01-01
Badri,Schapire,1965-02-01,1998-01-19,Assistant Engineer,9999-01-01
Kazuhiko,Kushner,1965-01-22,1995-08-01,Senior Engineer,9999-01-01
Annemarie,Zallocco,1965-01-10,1996-12-01,Engineer,9999-01-01
Limsoon,Erol,1965-01-10,1997-12-31,Senior Engineer,9999-01-01
Gopalakrishnan,Suermann,1965-01-28,1991-04-30,Engineer,9999-01-01
Leaf,Awdeh,1965-01-07,1992-10-02,Senior Staff,9999-01-01
Hidefumi,Moehrke,1965-01-20,1998-03-04,Staff,9999-01-01
Chiranjit,Dredge,1965-02-01,1999-09-05,Technique Leader,9999-01-01
Annemarie,Bressoud,1965-01-02,1998-06-23,Engineer,9999-01-01
Perry,Chachaty,1965-01-29,1985-07-22,Engineer,9999-01-01
True,Shobatake,1965-01-24,1996-05-17,Senior Staff,9999-01-01
George,Miake,1965-01-05,1988-01-02,Senior Staff,9999-01-01
Remmert,Quaggetto,1965-01-14,1992-04-28,Senior Staff,9999-01-01
Masasuke,Genin,1965-01-13,1994-06-25,Assistant Engineer,9999-01-01
Ipke,Kieras,1965-01-08,1995-12-18,Engineer,9999-01-01
Ramalingam,Remmele,1965-01-26,1999-09-03,Senior Engineer,9999-01-01
Mooi,Cooman,1965-01-19,1989-06-07,Engineer,9999-01-01
Giordano,Gini,1965-01-28,1993-08-14,Technique Leader,9999-01-01
Herbert,Erva,1965-01-07,1986-09-06,Engineer,9999-01-01
Gio,Murtha,1965-01-12,1986-11-11,Engineer,9999-01-01
Macha,Schnabel,1965-01-11,1988-05-11,Engineer,9999-01-01
Mikhail,Rousseau,1965-01-30,1998-11-30,Staff,9999-01-01
Garnik,Luce,1965-01-23,1998-09-15,Staff,9999-01-01
Francesca,Azuma,1965-01-26,1996-06-08,Senior Staff,9999-01-01
IEEE,Kroll,1965-01-18,1998-02-17,Engineer,9999-01-01
Yuriy,Plump,1965-01-09,1988-09-08,Senior Staff,9999-01-01
Bilhanan,Brendel,1965-01-03,1990-12-23,Senior Staff,9999-01-01
Nahla,Smailagic,1965-01-11,1993-02-12,Engineer,9999-01-01
Berry,Yurek,1965-01-08,1995-08-16,Senior Staff,9999-01-01
Fabrizio,Lichtman,1965-01-21,1987-02-09,Engineer,9999-01-01
Harjit,Terekhov,1965-01-27,1995-10-19,Staff,9999-01-01
Pohua,Tasistro,1965-01-03,1994-11-04,Technique Leader,9999-01-01
Paloma,Henseler,1965-01-15,1991-06-11,Engineer,9999-01-01
Gilbert,Kilgour,1965-01-11,1996-04-05,Staff,9999-01-01
Moni,Schach,1965-01-03,1986-07-04,Senior Staff,9999-01-01
Ewing,Millington,1965-01-23,1999-09-28,Engineer,9999-01-01
Jamaludin,Fordan,1965-01-19,1992-02-06,Engineer,9999-01-01
Tadahiro,Backhouse,1965-01-07,1991-10-02,Engineer,9999-01-01
Bezalel,Radivojevic,1965-01-31,1988-07-02,Senior Staff,9999-01-01
Renny,Alameldin,1965-01-14,1997-09-28,Assistant Engineer,9999-01-01
Yinghua,Lorho,1965-01-31,1991-08-09,Senior Staff,9999-01-01
Kolar,Puppo,1965-01-15,1990-04-25,Engineer,9999-01-01
Shahar,Negoita,1965-01-17,1994-03-19,Senior Staff,9999-01-01
Dietrich,Crabtree,1965-01-14,1986-05-24,Senior Staff,9999-01-01
Takushi,Brattka,1965-01-02,1999-06-03,Staff,9999-01-01
Trygve,Siksek,1965-01-22,1995-11-09,Staff,9999-01-01
Nectarios,Pramanik,1965-01-28,1999-11-18,Assistant Engineer,9999-01-01
Chandrasekaran,Pearson,1965-01-07,1995-04-14,Staff,9999-01-01
Goetz,Alvarado,1965-01-28,1988-12-25,Engineer,9999-01-01
Etsuo,Anandan,1965-01-29,1989-12-13,Senior Staff,9999-01-01
Nitsan,Rouquie,1965-01-11,1988-08-01,Engineer,9999-01-01
Barry,Ramsak,1965-01-23,1990-09-07,Engineer,9999-01-01
Tesuya,Bugrara,1965-01-14,1993-02-13,Assistant Engineer,9999-01-01
Alselm,Gargeya,1965-01-20,1987-12-25,Senior Engineer,9999-01-01
Khalid,Lenart,1965-01-06,1995-12-24,Engineer,9999-01-01
Fay,Sundgren,1965-01-16,1990-07-07,Senior Staff,9999-01-01
Etsuo,Usery,1965-01-12,1995-03-02,Engineer,9999-01-01
Cedric,Riefers,1965-01-17,1994-09-08,Engineer,9999-01-01
Zissis,Lodder,1965-01-14,2000-05-27,Engineer,9999-01-01
Kotesh,Chachaty,1965-01-20,1991-03-25,Engineer,9999-01-01
Baziley,Ballarin,1965-01-30,1987-07-28,Senior Staff,9999-01-01
Kellie,Heydon,1965-01-01,1985-11-11,Engineer,9999-01-01
Luerbio,Terkki,1965-01-07,1991-05-14,Senior Staff,9999-01-01
Foong,Aamodt,1965-01-31,1986-06-28,Senior Engineer,9999-01-01
Irena,Dratva,1965-01-17,1991-09-07,Senior Staff,9999-01-01
Sverrir,Gyimothy,1965-01-21,1995-07-30,Senior Staff,9999-01-01
Gro,Prochazka,1965-01-06,1992-10-16,Engineer,9999-01-01
Anneli,Joslin,1965-01-09,1987-04-12,Senior Engineer,9999-01-01
Gio,Heuser,1965-01-05,1992-06-28,Senior Staff,9999-01-01
Henk,Anger,1965-02-01,1993-01-19,Senior Staff,9999-01-01
Sampalli,Bergere,1965-01-17,1994-04-08,Senior Engineer,9999-01-01
Jayesh,Spinelli,1965-01-03,1999-01-16,Senior Engineer,9999-01-01
IEEE,Raczkowsky,1965-01-31,1996-07-24,Technique Leader,9999-01-01
Yechezkel,Maginnis,1965-01-17,1992-12-11,Senior Staff,9999-01-01
Insup,Reinhard,1965-01-11,1985-04-08,Senior Staff,9999-01-01
Almudena,Rijckaert,1965-01-28,1994-02-16,Engineer,9999-01-01
Huan,Olivero,1965-01-27,1999-11-19,Staff,9999-01-01
Adel,Foote,1965-01-17,2000-03-20,Staff,9999-01-01
Miomir,Frezza,1965-01-12,1991-05-25,Technique Leader,9999-01-01
Uno,Suppi,1965-01-09,1996-12-27,Staff,9999-01-01
Vishv,Angelov,1965-01-10,1988-03-08,Senior Staff,9999-01-01
Minghong,Cronin,1965-01-09,1987-10-04,Senior Staff,9999-01-01
Tadahiko,Pocchiola,1965-01-11,1996-04-02,Staff,9999-01-01
Abdulla,Kitai,1965-01-13,1987-02-20,Senior Staff,9999-01-01
Susumu,Brender,1965-01-01,1993-04-17,Engineer,9999-01-01
Vesna,Fairtlough,1965-01-08,2002-05-07,Engineer,9999-01-01
Sugwoo,Michaels,1965-01-04,1992-08-02,Engineer,9999-01-01
Arunas,Bugrara,1965-01-15,1997-04-03,Assistant Engineer,9999-01-01
Bilhanan,Dusink,1965-01-23,1988-06-04,Senior Staff,9999-01-01
Oscal,Ernst,1965-01-30,1992-05-19,Senior Staff,9999-01-01
Mizuhito,Kobara,1965-02-01,1996-08-09,Senior Staff,9999-01-01
True,Tischendorf,1965-01-24,1986-01-19,Engineer,9999-01-01
Kolar,Greenaway,1965-01-23,1998-11-14,Staff,9999-01-01
Mack,Staylopatis,1965-01-14,1985-04-02,Engineer,9999-01-01
Temple,Cyre,1965-01-02,1992-09-30,Senior Staff,9999-01-01
Francesca,Chorvat,1965-01-06,1992-03-17,Senior Staff,9999-01-01
Cedric,Molenaar,1965-01-23,1990-10-06,Engineer,9999-01-01
Jagoda,Anguita,1965-01-15,1993-05-11,Senior Engineer,9999-01-01
Uri,Lampe,1965-01-29,2001-12-11,Senior Staff,9999-01-01
Emran,Miara,1965-01-18,1989-05-02,Engineer,9999-01-01
Atilio,Olivero,1965-01-28,1985-09-04,Engineer,9999-01-01
Limsoon,Boudaillier,1965-01-30,1999-08-08,Senior Engineer,9999-01-01
Bluma,Fetvedt,1965-01-11,2001-11-14,Senior Staff,9999-01-01
Herb,Murrill,1965-01-09,2001-10-28,Senior Engineer,9999-01-01
Tomokazu,Pargas,1965-01-12,1996-11-15,Assistant Engineer,9999-01-01
Richara,Sudkamp,1965-01-05,1989-09-05,Senior Staff,9999-01-01
Bingning,Iisaku,1965-01-08,1989-06-26,Senior Staff,9999-01-01
Kazuyasu,Levergood,1965-01-11,1996-02-10,Engineer,9999-01-01
Bowen,Deverell,1965-01-02,1998-12-27,Senior Staff,9999-01-01
Kazunori,Perz,1965-02-01,1999-02-25,Senior Engineer,9999-01-01
Abdulah,Lodder,1965-01-04,1996-11-10,Senior Staff,9999-01-01
Marjo,Delgrange,1965-01-16,1990-06-24,Senior Staff,9999-01-01
